,Adventurer,Bureaucrat,Cellar,Chancellor,Chapel,Council Room,Feast,Festival,Laboratory,Library,Market,Militia,Mine,Moat,Moneylender,Remodel,Smithy,Spy,Thief,Throne Room,Village,Witch,Woodcutter,Workshop,Gold,Silver,Copper,Province,Duchy,Gardens,Estate,Curse
Adventurer,430,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,-2,44,0,0,50,0,-47,39,0,0,0,0
Bureaucrat,0,400,0,0,0,0,0,0,0,0,0,10,0,20,0,0,0,0,0,0,-39,-10,0,0,50,0,0,30,-20,20,0,0
Cellar,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,20,20,20,10,0
Chancellor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chapel,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20,0,0,0,0,0,0,0,0,0,0
Council Room,0,0,0,0,0,500,0,20,-38,0,0,-50,0,0,0,0,0,0,0,0,-7,10,0,0,89,0,0,0,26,10,0,0
Feast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Festival,0,-26,0,0,0,20,0,424,-39,30,-28,0,0,-9,0,0,20,0,0,0,-20,-29,0,0,-2,37,0,0,0,-27,0,0
Laboratory,-34,3,0,0,0,0,0,-50,540,0,-50,0,0,0,0,0,35,0,0,0,-50,28,0,0,25,-43,50,50,0,36,0,0
Library,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
Market,-14,0,0,0,0,0,0,0,0,10,480,0,0,0,0,0,0,0,0,0,0,50,0,0,10,47,0,39,0,10,0,0
Militia,-15,-44,0,0,0,30,0,0,0,50,-29,430,0,30,0,0,37,0,0,0,0,23,0,0,52,0,-50,70,20,20,10,0
Mine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0,0
Moat,0,-10,0,0,0,0,0,10,-39,0,0,-36,0,200,0,0,0,0,0,0,0,-20,0,0,0,50,0,0,0,0,0,0
Moneylender,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,-10,-10,0,0
Remodel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0,0,0
Smithy,0,0,0,0,0,-7,0,-27,0,0,0,0,0,0,0,0,365,0,0,0,20,0,0,0,0,21,0,17,0,0,0,0
Spy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thief,0,-20,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0
Throne Room,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Village,0,-89,0,0,0,30,0,0,0,10,0,0,0,0,0,0,20,0,0,0,230,20,0,0,0,20,23,51,0,0,0,0
Witch,0,0,0,0,0,0,0,20,0,0,0,0,0,30,0,0,18,0,0,0,0,632,0,0,50,0,0,36,0,51,0,0
Woodcutter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
Workshop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
Gold,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650,0,0,0,0,0,0,0
Silver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,0,0,0,0,0,0
Copper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Province,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,864,0,0,0,0
Duchy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0
Gardens,0,30,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,10,0,0,160,-24,0
Estate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
